netflixid,title,released_year,released_month,runtime,awards_win,awards_nominations,language,country,num_experienced_actors,num_experienced_creators,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,N/A,Reality-TV,Romance,Sci-Fi,Short,Sport,Thriller,War,Western
81312527,Little Big Women,2020,11,123,1,5,"Mandarin, Min Nan",Taiwan,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81380262,Tim Maia,2014,10,140,6,14,"Portuguese, English",Brazil,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
81337241,Doob: No Bed of Roses,2017,11,85,2,3,Bengali,Bangladesh,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81382129,Money,2017,6,86,16,26,"English, Spanish","USA, Spain",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
81382199,Starring Maja,2009,9,91,0,3,Swedish,Ireland Sweden,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81382144,Strong As A Lion,2003,2,89,0,1,Swedish,Sweden,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81382084,The Great Adventure,1955,5,77,6,1,Swedish,Sweden,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81382167,Career,1960,10,105,4,1,English,USA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81382135,Bitter Sweetheart,2007,2,90,1,0,Swedish,Sweden,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81382062,Angel,1999,10,44,13,47,English,USA,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81410534,Step,2017,8,84,9,20,English,USA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81323780,The Magician,2006,10,122,3,1,"English, Turkish",Turkey,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81323776,I Love Cinema,2004,6,125,5,1,Arabic,Egypt,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81323777,Breaking News,2004,6,90,5,11,"Cantonese, Mandarin, English",Hong Kong,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60011163,The Great Race,1965,12,160,3,14,English,USA,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
81239274,Superman: Red Son,2020,2,84,0,1,English,USA,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
81304206,My Blind Date with Life,2017,1,111,0,3,German,Germany,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70051473,I&#39;ll Always Know What You Did Last Summer,1999,5,136,29,66,English,USA,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
81001406,The House That Jack Built,2018,10,152,11,20,"English, German, Italian","Denmark, France, Sweden, Germany, Belgium, Tunisia",0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
81198527,Trolls World Tour,2020,4,90,0,4,English,USA,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
81329267,Alone,2008,11,113,6,7,Turkish,Turkey,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
81327394,Yolki 1914,2014,12,106,0,1,Russian,Russia,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80217006,Sonic the Hedgehog,2020,2,99,2,5,English French,USA Japan Canada,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
81402893,Samjin Company English Class,2020,10,110,1,5,Korean English,South Korea,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81327392,Game of Truth,2013,7,90,1,2,Russian,Russia,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81183403,Squadron 303,2018,8,104,0,1,Polish English,Poland UK,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
81087735,The Hunt,2013,1,115,38,67,"Danish, English, Polish","Denmark, Sweden",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81128859,I Still Believe,2020,3,116,0,1,English,USA,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
81386166,Dragon,2011,7,98,14,21,Mandarin,"Hong Kong, China",0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
81019277,Dinner With Friends,2001,8,94,3,4,English,USA,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
81393298,Affliction,1999,2,114,8,19,English,USA Canada Japan,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
70117340,The Battery,2013,6,101,9,2,English,USA,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
81059876,Radium Girls,2020,12,102,1,1,English,USA,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
81367998,Song Without a Name,2020,1,97,17,14,"Quechua, Spanish","Peru, Spain, USA, Chile",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81333314,The Vanished,2020,8,95,1,0,English,USA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
814862,Nowhere to Run,1993,1,94,0,1,English,USA,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
81405360,Non sono un assassino,2019,4,110,0,2,Italian,Italy,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
81396518,On Happiness Road,2018,1,110,5,3,Min Nan Mandarin English,Taiwan,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81343002,Marlina the Murderer in Four Acts,2017,11,93,17,24,Indonesian,Indonesia France Malaysia Thailand,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
81335322,Mars,2016,11,60,0,5,English,USA,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
81278474,Sputnik,2020,7,113,1,7,"Russian, Latin",Russia,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
81258548,The Bravest,2019,8,118,4,13,Mandarin,China,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81405350,Dolceroma,2019,4,105,0,1,Italian,Italy,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70142465,Beneath Clouds,2002,5,90,8,12,English,Australia,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
81287597,You Cannot Kill David Arquette,2020,8,91,1,2,English,USA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
81298406,Infamous,2006,10,110,3,2,English,USA,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81128745,Pieces of a Woman,2021,1,126,2,3,English,"Canada, Hungary, USA",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80202511,Summerland,2004,6,60,2,8,English,USA,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
