netflixid,rating
81312527,7.7
81380262,7.2
81337241,6.2
81382129,5.5
81382199,6.3
81382144,4.5
81382084,6.8
81382167,6.9
81382135,5.3
81382062,7.9
81410534,6.8
81323780,7.4
81323776,6.5
81323777,6.7
60011163,7.3
81239274,6.4
81304206,7.1
70051473,6.5
81001406,6.8
81198527,6.1
81329267,6.8
81327394,4.5
80217006,6.5
81402893,6.7
81327392,7.0
81183403,5.8
81087735,8.3
81128859,6.5
81386166,7.1
81019277,6.1
81393298,7.0
70117340,6.4
81059876,5.9
81367998,6.9
81333314,5.7
814862,5.7
81405360,5.5
81396518,7.2
81343002,7.0
81335322,7.5
81278474,6.4
81258548,5.5
81405350,5.6
70142465,7.0
81287597,7.2
81298406,7.0
81128745,5.4
80202511,6.9
81323786,7.3
81336369,6.4
360576,6.0
81117674,7.4
81252276,7.2
81311765,7.2
81184485,7.6
80234490,5.5
81351561,5.6
80238650,6.0
60011111,8.1
81304265,7.6
60026444,7.4
80203250,6.1
8178044,4.9
80989548,4.1
81252115,5.8
81186217,6.4
81074556,6.9
81000353,6.4
80197390,6.7
60032601,7.8
81360623,5.5
70045196,6.6
70050385,7.4
81188311,6.8
81382682,6.4
80158666,6.6
80990376,6.5
81348929,6.1
81354555,7.7
18168617,7.4
81392159,6.7
80240396,5.8
80135267,6.5
81396514,7.6
81032217,5.8
81396510,7.0
81323980,4.5
81118158,6.7
80207506,7.6
81340229,6.4
81338296,6.8
81052262,6.3
80999717,6.8
81262192,3.5
81318855,6.2
80994666,8.1
81210431,6.7
81287844,7.1
81334897,7.4
81023593,6.7
80203870,5.8
81173335,7.1
81183718,7.1
70100560,7.2
81354213,6.9
81336593,6.6
81232319,5.4
81019033,7.5
81354724,5.4
81263928,6.5
70261051,7.0
81351688,6.7
81387794,6.7
81387796,6.6
81387795,5.6
81354726,6.7
81161597,6.5
81251956,7.8
81251951,6.4
81341182,6.9
81351677,7.4
81351671,5.5
80208955,7.3
81337242,7.5
81324866,8.1
81278719,5.3
81264235,7.3
81303788,5.5
81002915,6.0
81332733,6.6
70295737,7.3
81342639,5.3
81324406,7.0
81001203,6.1
81347798,5.5
70143433,6.4
81292897,6.3
81188315,6.8
81188313,6.0
81076067,6.3
81334890,6.9
80224107,6.0
81172431,6.5
81130112,6.0
81151926,6.4
81039484,5.9
81343391,6.1
70128706,6.4
60035960,6.4
81343392,6.5
81343393,6.7
80089007,6.5
81009845,5.8
81318121,5.0
81323770,6.7
81023621,6.1
81130681,7.5
81324868,5.6
81307068,7.3
81348913,6.0
81287246,7.5
81214783,6.8
81319133,7.3
81343406,7.0
